"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Similarity Match","No. Near Duplicates","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.dlc.link/blog","897","179","5.011","53.204","Fairly Hard","","","","","","","e4b50d0887b1d35ca74862e105983273","Indexable",""
"https://www.dlc.link/blog/dlc-link-completes-2mn-pre-seed-investment-round","312","70","4.457","58.599","Fairly Hard","","","","","","","e9855620ce81fea2150726d5d227ea1b","Indexable",""
"https://www.dlc.link/blog/leveraging-dlcs-for-ordinals-auctions-trading-and-lending","1329","229","5.803","63.573","Normal","","","","","","","344cd8aedab2c9dcceeff8473f061aa5","Indexable",""
"https://www.dlc.link/blog/what-are-dlcs-and-dlc-attestors","1090","167","6.527","65.161","Normal","","","","","","","e12c6dbdbff3e5c343a8e09ddba181c8","Indexable",""
"https://www.dlc.link/blog/the-benefits-of-decentralized-lending-platforms","524","99","5.293","45.663","Hard","","","","","","","ed94d03545188866a96214318b543bc1","Indexable",""
"https://www.dlc.link/blog/an-introduction-to-bitcoin-escrow","1163","169","6.882","54.583","Fairly Hard","","","","","","","5dcf119217091ffad4b7a8663c864432","Indexable",""
"https://www.dlc.link/blog/the-security-benefits-of-dlcs-vs-bridging-or-wrapping","1523","235","6.481","65.052","Normal","","","","","","","bd20fae847115e1596dc1ecbda8f3443","Indexable",""
"https://www.dlc.link/","236","55","4.291","65.901","Normal","","","","","","","80b6a96f97e679d7030a1cc488964551","Indexable",""
"https://www.dlc.link/blog/frost-at-dlc-link-pioneering-advanced-security-for-dlcs","489","97","5.041","41.168","Hard","","","","","","","bc55e7c1b5e39e02d417792d47edab22","Indexable",""
"https://www.dlc.link/dlcbtc","305","59","5.169","77.323","Fairly Easy","","","","","","","99af7c6b5e5d46cb208e311602228124","Indexable",""
"https://www.dlc.link/blog/arkadiko","590","102","5.784","76.645","Fairly Easy","","","","","","","ab073f9b9c354b234cfbaf0322faeae3","Indexable",""
"https://www.dlc.link/media","724","205","3.532","72.144","Fairly Easy","","","","","","","c562bb5b66e80bd81c679fdbf509e173","Indexable",""
"https://www.dlc.link/blog/dlc-link-introduces-dlcbtc-a-game-changing-bitcoin-bridge-for-trustless-defi-operations","440","92","4.783","61.045","Normal","","","","","","","454f70a18bd62fb9e5685b8cb3a5bd06","Indexable",""
"https://www.dlc.link/merchants","250","63","3.968","63.725","Normal","","","","","","","3b3d72f568e70d27a3833a9fe04e8231","Indexable",""
"https://www.dlc.link/blog/dlc-link-vision","672","118","5.695","69.371","Normal","","","","","","","6cae8060afde099cc759f5012fe5d356","Indexable",""
"https://www.dlc.link/blog/what-is-a-bitcoin-attestor","656","124","5.290","56.253","Fairly Hard","","","","","","","162a0fe467f1f3f4cf46f67308a55ca3","Indexable",""
"https://docs.dlc.link/","113","19","5.947","77.267","Fairly Easy","","","","","","","25e383334520b5f3eb17a1919dd483b5","Indexable",""
"https://www.dlc.link/blog/minting-a-bitcoin-backed-nft-on-ethereum","818","140","5.843","69.868","Normal","","","","","","","bc8200d080dfa597ffadd1cdfbba3426","Indexable",""
"https://www.dlc.link/brand-kit","108","28","3.857","72.887","Fairly Easy","","","","","","","feac2643987f7ee121acb91846774f08","Indexable",""
"https://www.dlc.link/blog/new-contract-types-on-stacks-testnet","628","186","3.376","49.161","Hard","","","","","","","2a3adeea6f482e350d506607082b1d74","Indexable",""
"https://www.dlc.link/about-us","218","55","3.964","70.091","Fairly Easy","","","","","","","78185552dd79bf5ae00443c28663d5a1","Indexable",""
"https://www.dlc.link/blog/dlc-link-appoints-rusty-mason-as-business-development-advisor","315","74","4.257","59.366","Fairly Hard","","","","","","","60f06ee0a325e8ea251c04b97128ad61","Indexable",""
"https://www.dlc.link/blog/borrowing-usdc-against-bitcoin-in-arcade-xyz","587","127","4.622","60.903","Normal","","","","","","","b2f54810a37bd7a1c853eb7d57cdf176","Indexable",""
"https://www.dlc.link/blog/dlc-link-certification-program","462","102","4.529","71.492","Fairly Easy","","","","","","","361aaa44742b53e2ecdc76c6d935dbbf","Indexable",""
"https://www.dlc.link/blog/introducing-the-bitcoin-first-mentality","965","157","6.146","48.842","Hard","","","","","","","c9951423e0caac61041fa6c2b756787e","Indexable",""
"https://www.dlc.link/blog/how-dlcs-secure-bitcoin-on-chain-without-validators","482","108","4.463","56.449","Fairly Hard","","","","","","","e674e56103e21918785f02ebe10b32e4","Indexable",""
"https://www.dlc.link/blog/how-do-dlcs-utilize-schnorr-signatures","713","131","5.443","66.639","Normal","","","","","","","b824e0034188e84fa5d6061c85976ed5","Indexable",""
"https://www.dlc.link/glossary","2143","322","6.655","53.343","Fairly Hard","","","","","","","c1112b66a55bf66979c9aa7ab55c67df","Indexable",""
"https://www.dlc.link/blog/syvita-dlc-link-for-non-custodial-stacks-mining-pool","334","78","4.282","73.309","Fairly Easy","","","","","","","fb8f94c279e303bd9fc6f5405ed9dd5c","Indexable",""
"https://www.dlc.link/blog/practical-use-cases-of-dlcbtc-in-defi","1240","200","6.200","43.009","Hard","","","","","","","6dc98094bb747d0ffafb9de71136f038","Indexable",""
"https://www.dlc.link/blog/components-of-dlc-link","1380","240","5.750","63.800","Normal","","","","","","","a41de09dd8bbadefe6fd2c7efb1a77de","Indexable",""
"https://www.dlc.link/blog/comparative-analysis-of-wrapped-bitcoin-projects","1855","275","6.745","58.700","Fairly Hard","","","","","","","1355efa46c198877d30a87a0f3586839","Indexable",""
"https://www.dlc.link/blog/dlc-link-joins-the-2023-24-cdl-montreal-blockchain-web3-cohort","415","94","4.415","47.831","Hard","","","","","","","c724effa0ded02fb65ff359a5f26715a","Indexable",""
"https://www.dlc.link/zh/blog","43","28","1.536","100.000","Very Easy","","","","","","","a3b355318a63fc5670a95644a9ff8dab","Indexable",""
"https://www.dlc.link/blog/introducing-dlcbtc-and-the-dlcbtc-merchant-network","2268","362","6.265","51.046","Fairly Hard","","","","","","","ca0a04ac3339cf15a85464cb94709e43","Indexable",""
"https://www.dlc.link/blog/4-ways-dlc-links-bitcoin-attestors-enable-finance-on-bitcoin","1322","222","5.955","58.020","Fairly Hard","","","","","","","4a64dd20e61cce459bdbb92512138e50","Indexable",""
"https://www.dlc.link/blog/securing-bitcoin-loans-on-dlcs-with-sbtc-liquidation","806","127","6.346","66.986","Normal","","","","","","","8d1b7d29e6a6f64ce289810d489db529","Indexable",""
"https://www.dlc.link/blog/non-custodial-escrow-the-missing-piece-in-bitcoin-mining-pool-efficiency","1111","187","5.941","50.261","Fairly Hard","","","","","","","ab697621bb08226345701ccd1d722bcc","Indexable",""
"https://www.dlc.link/blog/on-chain-escrow","273","65","4.200","69.629","Normal","","","","","","","890409332614112e2095eb7fbd25baf0","Indexable",""
"https://www.dlc.link/blog/why-should-crypto-users-take-loans-against-their-holdings","828","143","5.790","63.023","Normal","","","","","","","9cb497dfcbb49efccdcb8e7f0a6d298c","Indexable",""
"https://www.dlc.link/blog/elvie-kamalova-joins-dlc-link-as-strategic-advisor","403","86","4.686","66.467","Normal","","","","","","","ee94b044ed12840971815634198e7278","Indexable",""
"https://www.dlc.link/blog/the-difference-between-a-dlc-layer-and-a-decentralized-consensus-network","785","137","5.730","66.737","Normal","","","","","","","96307464b486d5570f90918c44f538e3","Indexable",""
"https://www.dlc.link/platform","120","33","3.636","61.439","Normal","","","","","","","1e6d9a7a8afbc8951eb6ad51b5b529e3","Indexable",""
"https://www.dlc.link/blog/nadav-kohen-joins-dlc-link-as-technical-advisor","402","89","4.517","59.146","Fairly Hard","","","","","","","37400fc9ff37e8be2dc9d48449dc8dc9","Indexable",""
"https://docs.dlc.link/zhong-wen/ji-shu-bai-pi-shu-yu-shen-ji-bao-gao","36","27","1.333","100.000","Very Easy","","","","","","","5f529469011963caf71b98c90f042a95","Indexable",""
"https://www.dlc.link/zh/blog/dlcbtc-geng-an-quan-de-feng-zhuang-bi-te-bi","118","92","1.283","100.000","Very Easy","","","","","","","e0e278ab9e5778c865f0b9d80d1ca8c5","Indexable",""
"https://docs.dlc.link/zhong-wen/gai-lan","29","19","1.526","100.000","Very Easy","","","","","","","9a36455921f3be8743df04a04b71f595","Indexable",""
"https://www.dlc.link/zh/merchants","210","59","3.559","79.948","Fairly Easy","","","","","","","f6a6c0d24539f5930b4b3ebf6c0d9d30","Indexable",""
"https://docs.dlc.link/dlcbtc-overview","528","98","5.388","71.262","Fairly Easy","","","","","","","3a1a18909122b8c1c1059dd68cdfe5ee","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi","35","18","1.944","100.000","Very Easy","","","","","","","8ac7480d25e01cb766542e78c11ab361","Indexable",""
"https://www.dlc.link/zh/blog/shi-me-shi-bi-te-bi-ren-zheng-zhe","73","58","1.259","100.000","Very Easy","","","","","","","7efd4cb404555dc90b9e1a6a0e35800d","Indexable",""
"https://www.dlc.link/joinourtestnet","65","18","3.611","93.840","Very Easy","","","","","","","fdfc587ac3826c200c000ee54d9e2b93","Indexable",""
"https://www.dlc.link/zh/dlcbtc","147","50","2.940","100.000","Very Easy","","","","","","","631a403a095af8f36ae456bb6edc6fae","Indexable",""
"https://www.dlc.link/zh/blog/dlc-linkde-yuan-jing","73","76","0.961","100.000","Very Easy","","","","","","","92d8fbe47d144ff8c0abceb29a0fdb02","Indexable",""
"https://docs.dlc.link/links","40","43","0.930","38.806","Hard","","","","","","","5cab7449117cc8d4626b74c73ddfefc8","Indexable",""
"https://docs.dlc.link/jia-gou/tong-yong-yong-li","40","36","1.111","100.000","Very Easy","","","","","","","de47c3c6bf5d8e2540b39376e7c6ca2f","Indexable",""
"https://www.dlc.link/zh","90","46","1.957","100.000","Very Easy","","","","","","","2cd2b5bca26d7e00bdd0c52c2da80361","Indexable",""
"https://www.dlc.link/zh/blog/fang-dao-de-bi-te-bi-qiao-liang","106","70","1.514","100.000","Very Easy","","","","","","","d8eecd9ed91b1d8da8a1a845a41d5f98","Indexable",""
"https://www.dlc.link/zh/brand-kit","75","24","3.125","100.000","Very Easy","","","","","","","6086909858aacc00fde3c5a391939df","Indexable",""
"https://www.dlc.link/zh/platform","61","29","2.103","100.000","Very Easy","","","","","","","2164f47646ea70cb6fd666068c04811","Indexable",""
"https://www.dlc.link/zh/blog/dlcbtc-he-dlcbtc-de-cheng-dui-shang-wang-luo","162","132","1.227","100.000","Very Easy","","","","","","","cc4bb4eaab2e0ce1178ce821bc819bc0","Indexable",""
"https://docs.dlc.link/architecture/generic-use-cases","246","48","5.125","32.433","Hard","","","","","","","4cab5735686880a66dab8810ad4c842c","Indexable",""
"https://docs.dlc.link/architecture/tech-stack","1604","266","6.030","67.327","Normal","","","","","","","d8bfd9a988b2f8329d85137232c434b6","Indexable",""
"https://docs.dlc.link/the-team","341","63","5.413","50.748","Fairly Hard","","","","","","","ca700bbf37707fdd759e2c04282922b1","Indexable",""
"https://www.dlc.link/media?279a5c96_page=2","743","206","3.607","68.019","Normal","","","","","","","f41660619ca46c999f4276100fa14314","Indexable",""
"https://docs.dlc.link/zhong-wen/tuan-dui","64","32","2.000","36.927","Hard","","","","","","","8b1df44dfa23b353047d0cdc1ecc098d","Indexable",""
"https://www.dlc.link/zh/about-us","123","50","2.460","100.000","Very Easy","","","","","","","b95a95784521b487f9e4ec7d12debbae","Indexable",""
"https://docs.dlc.link/jia-gou/ji-shu-jia-gou","141","134","1.052","100.000","Very Easy","","","","","","","f47765b64570fc5bce47e6f12ce83213","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup","52","18","2.889","68.868","Normal","","","","","","","82b65d7d5260879a31e85483d86f08e4","Indexable",""
"https://docs.dlc.link/zhong-wen/dlcbtc-gai-lan","93","61","1.525","100.000","Very Easy","","","","","","","50052d2622012a5661b952d39c62e59a","Indexable",""
"https://docs.dlc.link/resources","114","41","2.780","80.081","Easy","","","","","","","58ab0f3435bd3fa729f0f680a910846","Indexable",""
"https://www.dlc.link/zh/media","150","83","1.807","100.000","Very Easy","","","","","","","811b402741021d03469519f92b275fd8","Indexable",""
"https://www.dlc.link/zh/glossary","1112","237","4.692","62.772","Normal","","","","","","","6df65f43c3afc8066fc6a7856b11b009","Indexable",""
"https://www.dlc.link/media?279a5c96_page=3","765","209","3.660","70.414","Fairly Easy","","","","","","","fc455742238c52ae681bba37cd2284b2","Indexable",""
"https://www.dlc.link/media?279a5c96_page=1","724","205","3.532","72.144","Fairly Easy","","","","","","","c562bb5b66e80bd81c679fdbf509e173","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/bi-te-bi-qian-bao","275","105","2.619","66.048","Normal","","","","","","","71c04c67c80735fc9e8788e1101cb8a9","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/code-repository","77","23","3.348","58.408","Fairly Hard","","","","","","","a69a26d7214f05434f312c23d2d29f97","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/dai-ma-cun-chu-ku","35","21","1.667","81.869","Easy","","","","","","","714d8b49b2935f54be24883cd12d259a","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/dlc-attestors","455","94","4.840","63.029","Normal","","","","","","","47ccb21c245132f677b2242f5c7f6dd7","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/solidity","304","64","4.750","85.689","Easy","","","","","","","b115678aa79133c82dcbc5804d2ddd8a","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/nft-token-functions","454","72","6.306","86.579","Easy","","","","","","","54c9c1fc7c692ae43180c214b8ca5395","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/stacks-clarity","306","68","4.500","55.462","Fairly Hard","","","","","","","a20b0a1bb07ceff2406627727d2f597c","Indexable",""
"https://www.dlc.link/zh/joinourtestnet","30","15","2.000","100.000","Very Easy","","","","","","","a945a588274dfae4e5f18b49a775e9e6","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/solidity","352","66","5.333","84.616","Easy","","","","","","","73fe70c65762606d8d1537b85777fdbe","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/dlc-ren-zheng-ren","89","63","1.413","100.000","Very Easy","","","","","","","a7ee503392cc1c000feabff086222299","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/stacks-clarity","163","55","2.964","50.716","Fairly Hard","","","","","","","a5efc163303f16b341d78290ee10bb24","Indexable",""
"https://docs.dlc.link/architecture/installation-and-setup/bitcoin-wallets","830","146","5.685","67.743","Normal","","","","","","","c591d2adfef6774ec63eea9aebe7d6f","Indexable",""
"https://docs.dlc.link/jia-gou/an-zhuang-yu-she-zhi/nft-token-functions","48","35","1.371","100.000","Very Easy","","","","","","","1744ed9ba93b07a670cab332a4d909b","Indexable",""
"https://www.dlc.link/media?279a5c96_page=4","764","208","3.673","70.449","Fairly Easy","","","","","","","d43ddf5b2779dc7f5341e421de5a0324","Indexable",""
"https://www.dlc.link/media?279a5c96_page=5","697","205","3.400","73.632","Fairly Easy","","","","","","","8f787f926be6052bd84bd7e4aebe9b3a","Indexable",""
"https://www.dlc.link/media?279a5c96_page=6","624","186","3.355","73.276","Fairly Easy","","","","","","","52abb782543c19de8a7c07c15669ebe0","Indexable",""
